name_en,name_ru,mood_en,mood_ru,description_en,description_ru,object_type_en,object_type_ru,image_path
Io,Ио,"explosive, intense, vivid","взрывной, интенсивный, яркий",Io is Jupiter’s volcanic moon and the most geologically active body in the Solar System. Its colorful surface is constantly reshaped by eruptions.,Ио — вулканический спутник Юпитера и самое геологически активное тело Солнечной системы. Его красочная поверхность постоянно меняется из-за извержений.,moon,спутник,data/curated_space_objects/images/io.jpg
Ganymede,Ганимед,"calm, wise, ancient","спокойный, мудрый, древний","Ganymede is the largest moon in the Solar System, even bigger than Mercury. It has an icy surface and may hide a salty ocean underground.","Ганимед — крупнейший спутник Солнечной системы, больше Меркурия. У него ледяная поверхность, а под ней может скрываться соленый океан.",moon,спутник,data/curated_space_objects/images/ganymede.jpg
Enceladus,Энцелад,"cool, pure, unexpected","прохладный, чистый, непредсказуемый",Enceladus is a small icy moon of Saturn that sprays water vapor from cracks near its south pole. These geysers hint at a hidden ocean below the ice.,"Энцелад — небольшой ледяной спутник Сатурна, выбрасывающий водяной пар из трещин у южного полюса. Эти гейзеры указывают на скрытый океан подо льдом.",moon,спутник,data/curated_space_objects/images/enceladus.jpg
Callisto,Каллисто,"timeworn, calm, resilient","отмеченный временем, спокойный, стойкий",Callisto is a heavily cratered moon of Jupiter and one of the oldest-looking worlds in the Solar System. Its surface records billions of years of impacts.,Каллисто — сильно покрытый кратерами спутник Юпитера и один из самых древних на вид миров Солнечной системы. Его поверхность хранит следы миллиардов лет столкновений.,moon,спутник,data/curated_space_objects/images/callisto.jpg
Charon,Харон,"devoted, distant, loyal","преданный, далёкий, верный","Charon is Pluto’s largest moon and is so big that Pluto and Charon orbit a point between them. Its surface shows cliffs, canyons, and a dark polar cap.","Харон — крупнейший спутник Плутона, настолько большой, что Плутон и Харон вращаются вокруг точки между ними. На его поверхности видны обрывы, каньоны и темная полярная область.",moon,спутник,data/curated_space_objects/images/charon.jpg
Pluto,Плутон,"underrated, dramatic, beloved","недооценённый, драматичный, любимый","Pluto is a distant dwarf planet with icy mountains and a famous heart-shaped plain. Though small, it is one of the most beloved worlds in the Solar System.","Плутон — далекая карликовая планета с ледяными горами и знаменитой равниной в форме сердца. Несмотря на малый размер, это один из самых любимых миров Солнечной системы.",minor planet,малая планета,data/curated_space_objects/images/pluto.jpg
Ceres,Церера,"calm, hidden, gentle","спокойный, скрытый, мягкий",Ceres is the largest object in the asteroid belt and the only dwarf planet in the inner Solar System. Bright salt deposits mark parts of its surface.,Церера — крупнейший объект пояса астероидов и единственная карликовая планета во внутренней Солнечной системе. На ее поверхности заметны яркие соляные отложения.,dwarf planet,карликовая планета,data/curated_space_objects/images/ceres.jpg
Vesta,Веста,"bright, resilient, determined","яркий, стойкий, решительный",Vesta is one of the largest asteroids and has a surface shaped by huge impacts. A massive crater near its south pole reveals its rocky interior.,"Веста — один из крупнейших астероидов, поверхность которого сформирована мощными столкновениями. Огромный кратер у южного полюса раскрывает ее каменное строение.",asteroid,астероид,data/curated_space_objects/images/vesta.jpg
Bennu,Бенну,"dark, ancient, unpredictable","темный, древний, непредсказуемый","Bennu is a dark, carbon-rich asteroid visited by NASA’s OSIRIS-REx mission. Material collected from Bennu may preserve clues from the early Solar System.","Бенну — темный богатый углеродом астероид, который исследовала миссия NASA OSIRIS-REx. Образцы с Бенну могут хранить следы ранней истории Солнечной системы.",asteroid,астероид,data/curated_space_objects/images/bennu.jpg
Arrokoth,Аррокот,"soft, distant, unusual","мягкий, отстранённый, необычный","Arrokoth is a distant icy object beyond Neptune, shaped like two lobes gently stuck together. It preserves a primitive form from the early Solar System.","Аррокот — далекий ледяной объект за орбитой Нептуна, похожий на две мягко соединенные доли. Он сохраняет древнюю форму времен ранней Солнечной системы.",trans-Neptunian object,транснептуновый объект,data/curated_space_objects/images/arrokoth.jpg
Quasar 3C 273,Квазар 3С 273,"brilliant, distant, extreme","сияющий, отстранённый, экстремальный",3C 273 is one of the brightest known quasars and was the first quasar ever identified. Its enormous energy comes from a supermassive black hole feeding at its center.,"3C 273 — один из самых ярких известных квазаров и первый обнаруженный квазар. Его огромная энергия исходит от сверхмассивной черной дыры, поглощающей вещество в центре.",quasar,квазар,data/curated_space_objects/images/quasar_3c_273.jpg
Einstein Cross,Крест Эйнштейна,"rare, reflective, cosmic","редкий, отражающий, космический",The Einstein Cross is a quasar whose light is split into four images by the gravity of a foreground galaxy. It is a striking example of gravitational lensing.,"Крест Эйнштейна — квазар, свет которого гравитация передней галактики разделила на четыре изображения. Это яркий пример гравитационного линзирования.",gravitational lens,гравитационная линза,data/curated_space_objects/images/einstein_cross.jpg
Vela Pulsar,Пульсар Вела,"fast, energetic, focused","быстрый, энергичный, сфокусированный",The Vela Pulsar is a rapidly spinning neutron star left behind by a supernova. It sends out beams of radiation like a cosmic lighthouse.,"Пульсар Вела — быстро вращающаяся нейтронная звезда, оставшаяся после сверхновой. Он испускает пучки излучения, словно космический маяк.",pulsar,пульсар,data/curated_space_objects/images/vela_pulsar.jpg
Crab Pulsar,Пульсар Крабовидной туманности,"restless, energetic, remarkable","неугомонный, энергичный, выдающийся",The Crab Pulsar is the energetic neutron star at the center of the Crab Nebula. It spins about 30 times per second and powers the nebula’s glow.,Пульсар Крабовидной туманности — энергичная нейтронная звезда в центре Крабовидной туманности. Он вращается около 30 раз в секунду и поддерживает свечение туманности.,pulsar,пульсар,data/curated_space_objects/images/crab_pulsar.jpg
Tycho's Supernova,Сверхновая Тихо,"legendary, explosive, sharp","легендарный, взрывной, резкий",Tycho’s Supernova is the remnant of a stellar explosion observed in 1572. Its expanding shell still glows in X-rays and visible light.,"Сверхновая Тихо — остаток звездного взрыва, наблюдавшегося в 1572 году. Ее расширяющаяся оболочка до сих пор светится в рентгеновском и видимом диапазонах.",supernova remnant,остаток сверхновой,data/curated_space_objects/images/tycho_s_supernova.jpg
Kepler's Supernova,Сверхновая Кеплера,"legendary, fiery, evolving","легендарный, огненный, развивающийся",Kepler’s Supernova is the remnant of a supernova seen in 1604. It is one of the last supernovae observed in our galaxy with the naked eye.,"Сверхновая Кеплера — остаток сверхновой, вспышку которой видели в 1604 году. Это одна из последних сверхновых в нашей галактике, наблюдавшихся невооруженным глазом.",supernova remnant,остаток сверхновой,data/curated_space_objects/images/kepler_s_supernova.jpg
Cassiopeia A,Кассиопея А,"young, loud, colorful","молодой, громкий, красочный",Cassiopeia A is a young supernova remnant and one of the strongest radio sources in the sky. Its colorful debris is still racing outward from the explosion.,Кассиопея A — молодой остаток сверхновой и один из самых мощных радиоисточников на небе. Его красочные обломки все еще разлетаются после взрыва.,supernova remnant,остаток сверхновой,data/curated_space_objects/images/cassiopeia_a.jpg
Barnard 68,Барнард 68,"silent, dark, minimal","безмолвный, темный, минималистичный","Barnard 68 is a small dark nebula that blocks the light of stars behind it. It looks like a quiet black hole in the sky, but it is actually a cold cloud of dust and gas.","Барнард 68 — небольшая темная туманность, закрывающая свет звезд за собой. Она выглядит как тихая черная дыра на небе, но на самом деле это холодное облако пыли и газа.",dark nebula,темная туманность,data/curated_space_objects/images/barnard_68.jpg
